day,z_f_1,z_f_2,z_f_3,z_f_4,z_f_5,z_f_6,z_f_7,z_f_8
2040,0.06518016,0.013151822,-0.10575907,0.08119454,-0.25660092,0.089091145,-0.00061834604,0.012244875
2060,0.037335075,0.034262788,-0.12200852,0.08323868,-0.2693622,0.054463055,-0.01554428,-0.015196409
2080,0.046220236,0.011454783,-0.12602341,0.06758049,-0.2450279,0.05182244,0.015040092,-0.004647281
2100,0.050152935,0.014699417,-0.12670858,0.07778535,-0.2430621,0.06003402,0.014675479,0.0025319494
2120,0.040456444,-0.023123462,-0.17557159,0.053513773,-0.23658021,0.029966105,0.09128022,-0.020931758
2140,-0.042744607,0.123999804,-0.13108292,0.17212732,-0.38980886,0.110417135,-0.1318035,0.005917724
2160,0.044877756,0.023560166,-0.1296961,0.082519665,-0.25535095,0.070300356,-0.001981318,0.0041545946
2180,0.04631809,0.031266615,-0.13442351,0.08655264,-0.27313384,0.07466166,-0.017892808,0.0012947693
2200,0.02446007,0.09069484,-0.10488398,0.14290579,-0.32884818,0.17094734,-0.07034172,0.049582336
2220,0.038476255,0.006420102,-0.12889545,0.06969301,-0.2280253,0.085585125,0.035749137,0.026538394
2240,0.044601843,0.024085432,-0.13139145,0.08189616,-0.25888082,0.07936616,-0.009702295,0.012469783
2260,0.053710558,-0.019863438,-0.18322955,0.042019524,-0.262408,0.022552192,0.08329591,-0.032727323
2280,-0.10340172,0.20508903,-0.16557598,0.2175975,-0.47396344,0.08219194,-0.20956717,-0.026803304
2300,0.04257004,0.0008808933,-0.15988733,0.060862858,-0.24440992,0.058924466,0.031962123,0.006177528
2320,0.039282255,0.043580454,-0.102066845,0.099820174,-0.3004319,0.105181366,-0.05498664,-0.00025495514
2340,0.037180364,0.072980866,-0.115563735,0.11092349,-0.3326253,0.13097554,-0.054005258,0.013371183
2360,0.0720118,-0.020987822,-0.14522749,0.062187277,-0.23287186,0.083003476,0.079677455,0.019365203
2380,0.03923351,0.03251688,-0.11751592,0.08080079,-0.2713403,0.10358421,-0.0372089,0.02252703
2400,0.01245405,0.049640916,-0.12938063,0.08810236,-0.30165797,0.07955686,-0.05508072,0.005058177
2420,-0.015808407,0.11581898,-0.112623304,0.15364283,-0.36419386,0.09917696,-0.11511408,-0.032111913
2440,0.06216833,-0.018471785,-0.14845467,0.05263585,-0.23791116,0.07718152,0.05799172,0.026986973
2460,-0.03128735,0.1406555,-0.10344394,0.16116573,-0.3873111,0.12226722,-0.12771477,-0.0058438107
2480,0.054753702,-0.0038973205,-0.14778742,0.061806913,-0.24717863,0.09679589,0.042747676,0.034967884
2500,0.05154701,-0.01924197,-0.1824456,0.04387831,-0.25611427,0.06641484,0.04763573,0.0069842245
2520,-0.081286654,0.1946514,-0.13567592,0.20392187,-0.44938076,0.113377675,-0.18506582,-0.036351822
2540,0.048168402,0.026578208,-0.122915246,0.06841554,-0.28669387,0.09381764,-0.044260517,0.021592751
